community_detector,used_communities,algorithm_rec,test_size,split_id,rmse,mse,mae
Paris,24.0,Co-Clustering,0.25,3,1.3105983866339337,1.7176681310474697,1.0766367476805168
Paris,25.0,Co-Clustering,0.25,3,1.3104973559028168,1.7174033198282739,1.0764911807383903
Paris,26.0,Co-Clustering,0.25,3,1.3103624065420671,1.7170496364787178,1.0763332446313774
Paris,27.0,Co-Clustering,0.25,3,1.3100943951231545,1.7163473241331042,1.076098161272491
Paris,28.0,Co-Clustering,0.25,3,1.3097417855883313,1.7154235449161106,1.0756968149699588
Paris,29.0,Co-Clustering,0.25,3,1.3095155314413143,1.7148309270860276,1.0755029155728173
Paris,30.0,Co-Clustering,0.25,3,1.3092747280002297,1.7142003133800756,1.075255775468934
Paris,31.0,Co-Clustering,0.25,3,1.309229793759898,1.714082652868585,1.075234996432
Paris,32.0,Co-Clustering,0.25,3,1.3092398495690791,1.714108983699665,1.0752706729685033
Paris,33.0,Co-Clustering,0.25,3,1.309183566178119,1.7139616099508577,1.075233943362483
Paris,34.0,Co-Clustering,0.25,3,1.3090400353275848,1.7135858140904443,1.075099997627153
Paris,35.0,Co-Clustering,0.25,3,1.3088842502423828,1.7131779805325642,1.0749154452471215
Paris,36.0,Co-Clustering,0.25,3,1.3087832819068694,1.7129136789989163,1.0748431924237811
Paris,37.0,Co-Clustering,0.25,3,1.3089559816539789,1.7133657619077314,1.0749943528775503
Paris,38.0,Co-Clustering,0.25,3,1.3091507620777598,1.7138757178487793,1.07517033680216
Paris,39.0,Co-Clustering,0.25,3,1.30942883549572,1.714603875227677,1.0754933811911633
Paris,40.0,Co-Clustering,0.25,3,1.309855985454642,1.7157227026313513,1.0758675496961156
Paris,41.0,Co-Clustering,0.25,3,1.3103966097001878,1.7171392747137462,1.0764292815718552
Paris,42.0,Co-Clustering,0.25,3,1.3108356778048897,1.718290174206205,1.0768868723338412
Paris,43.0,Co-Clustering,0.25,3,1.311250105858904,1.7193768401149865,1.077329114628975
