dataset,similarity_metric,community_detector,algorithm_rec,test_size,split_id,rmse,mse,mae
ml-100k,l2,Not-Applicable,Co-Clustering,0.01,1,0.9490645427749912,0.900723506352703,0.7406207642257525
ml-100k,l2,Louvain,SVD,0.01,1,1.2519296617185647,1.5673278778907596,1.0115499742044214
ml-100k,l2,Louvain,k-NN,0.01,1,1.3222186234754734,1.7482620882653754,1.056899152029664
ml-100k,l2,Louvain,NMF,0.01,1,1.3866471392399893,1.9227902887624462,1.1090322627323326
ml-100k,l2,Louvain,Co-Clustering,0.01,1,1.371738434980736,1.881666334003399,1.1005999007223484
ml-100k,l2,Paris,SVD,0.01,1,1.2587217486392308,1.5843804404974031,1.0244978673721552
ml-100k,l2,Paris,k-NN,0.01,1,1.2922300003591982,1.6698583738283335,1.034114041326728
ml-100k,l2,Paris,NMF,0.01,1,1.3545870873583405,1.8349061772379527,1.0839153190333386
ml-100k,l2,Paris,Co-Clustering,0.01,1,1.3532539983132181,1.8312963839507115,1.0842815192128328
ml-100k,l2,Surprise,SVD,0.01,1,1.2374516833814098,1.531286668703485,0.9953488796101289
ml-100k,l2,Surprise,k-NN,0.01,1,1.266021868630817,1.6028113718514656,1.0101603874831067
ml-100k,l2,Surprise,NMF,0.01,1,1.3112829399204526,1.7194629485264254,1.046270248861256
ml-100k,l2,Surprise,Co-Clustering,0.01,1,1.3100248657671931,1.7161651489283523,1.049271341456275
ml-100k,euclidean,Not-Applicable,SVD,0.01,2,0.9487990309038182,0.9002196010440245,0.741918649209152
ml-100k,euclidean,Not-Applicable,k-NN,0.01,2,0.9771338243668578,0.9547905107218012,0.7703052196538726
ml-100k,euclidean,Not-Applicable,NMF,0.01,2,0.9423156441950717,0.887958773294773,0.7343460494400881
ml-100k,euclidean,Not-Applicable,Co-Clustering,0.01,2,0.9672345244271374,0.9355426252437906,0.7542505644486314
ml-100k,euclidean,Louvain,SVD,0.01,2,1.2651237118932617,1.6005380063945844,1.0248729197456208
ml-100k,euclidean,Louvain,k-NN,0.01,2,1.2594834261767056,1.5862985008138129,1.018152254869221
ml-100k,euclidean,Louvain,NMF,0.01,2,1.3570831711629956,1.8416747334538122,1.1049060931477561
ml-100k,euclidean,Louvain,Co-Clustering,0.01,2,1.350728093488625,1.8244663825394158,1.1005789301504063
ml-100k,euclidean,Paris,SVD,0.01,2,1.2698781198400972,1.6125904392486203,1.0331814809278945
ml-100k,euclidean,Paris,k-NN,0.01,2,1.2447263029181548,1.549343569176298,1.0073936854782763
ml-100k,euclidean,Paris,NMF,0.01,2,1.3606693821337932,1.8514211674763583,1.1029622848804441
